id,order_id,product_id,qty,rate,amount
1821,291,191,1,118.86,118.86
1842,292,275,1,661,661.00
1843,292,231,1,15,15.00
1844,292,144,10,16.37,163.70
1845,292,148,14,41.4,579.60
1846,292,65,10,70,700.00
1847,293,203,5,84.34,421.70
1848,293,166,15,16.08,241.20
1849,293,186,20,17.80,356.00
1850,293,146,1,126.36,126.36
1851,293,142,30,14.11,423.30
1924,304,38,10,18.21,182.10
1925,304,99,1,145,145.00
1926,304,142,10,14.11,141.10
1927,304,129,10,22,220.00
1928,304,90,2,258.50,517.00
1929,304,119,15,1.42,21.30
1930,305,204,5,30.75,153.75
1931,305,73,4,12.67,50.68
1932,306,234,1,100,100.00
1933,306,237,1,60,60.00
1934,306,270,1,35,35.00
1935,306,258,1,105.73,105.73
1936,306,130,10,24.5,245.00
1937,306,174,30,6.41,192.30
1938,306,165,5,75,375.00
1939,306,88,15,2.17,32.55
1943,307,88,10,2.17,21.70
1944,307,159,1,200,200.00
1945,308,72,7,70,490.00
1946,308,284,10,6.65,66.50
1947,308,156,1,185,185.00
1948,309,203,3,84.34,253.02
1949,309,130,3,24.5,73.50
1950,309,179,6,10.5,63.00
1951,309,222,6,2.9,17.40
1952,309,163,8,7,56.00
1972,311,271,1,210,210.00
1973,311,198,60,2.48,148.80
1974,311,163,10,7,70.00
1975,311,147,30,1.5,45.00
1976,311,123,1,195.51,195.51
1986,310,234,1,100,100.00
1987,310,237,1,60,60.00
1988,310,258,1,105.73,105.73
1989,310,116,2,77.67,155.34
1990,310,270,1,35,35.00
1991,310,233,1,25,25.00
1992,310,114,30,15.71,471.30
1993,310,165,5,75,375.00
1994,312,161,10,27.5,275.00
1995,313,203,5,84.34,421.70
1996,313,193,1,72.83,72.83
1997,313,67,5,27.25,136.25
1998,314,57,7,21.43,150.01
1999,314,185,21,7.57,158.97
2000,315,203,5,84.34,421.70
2001,315,173,7,21.43,150.01
2002,315,192,1,140.95,140.95
2003,315,193,1,72.83,72.83
2004,316,57,7,21.43,150.01
2005,316,147,15,1.5,22.50
2006,316,192,1,140.95,140.95
2007,316,162,15,5,75.00
2008,316,193,1,72.83,72.83
2009,316,206,1,304.25,304.25
2010,316,96,1,140,140.00
2011,317,132,15,18,270.00
2012,317,163,10,7,70.00
2013,317,148,14,41.4,579.60
2016,318,144,12,16.37,196.44
2017,318,266,10,250,2500.00
2018,319,213,6,410.49,2462.94
2019,319,171,16,30,480.00
2020,319,57,8,21.43,171.44
2021,319,111,16,19.55,312.80
2022,319,159,1,200,200.00
2023,319,233,6,25,150.00
2024,320,144,30,16.37,491.10
2025,320,69,1,731.2,731.20
2026,320,65,30,70,2100.00
2027,320,199,90,1.5,135.00
2033,322,72,7,70,490.00
2034,322,173,7,21.43,150.01
2035,322,84,14,2.61,36.54
2036,322,87,21,10.94,229.74
2037,323,216,1,221.84,221.84
2038,324,54,5,70.14,350.70
2039,324,185,15,7.57,113.55
2040,324,57,5,21.43,107.15
2041,324,111,5,19.55,97.75
2046,326,142,30,14.11,423.30
2047,326,129,30,22,660.00
2048,326,226,15,20.5,307.50
2053,325,144,10,16.37,163.70
2054,325,266,10,250,2500.00
2055,325,65,10,70,700.00
2056,325,182,6,61.72,370.32
2067,321,213,6,410.49,2462.94
2068,321,171,16,30,480.00
2069,321,57,8,21.43,171.44
2070,321,111,16,19.55,312.80
2071,321,233,6,25,150.00
2083,329,131,15,26,390.00
2084,329,142,15,14.11,211.65
2094,330,129,10,22,220.00
2095,330,69,1,731.2,731.20
2096,330,171,14,30,420.00
2097,330,88,21,2.17,45.57
2098,330,90,2,258.50,517.00
2099,328,41,10,100,1000.00
2100,328,173,5,21.43,107.15
2101,327,166,10,16.08,160.80
2102,327,127,1,260,260.00
2103,327,287,1,192.10,192.10
2104,331,130,10,28.57,285.70
2105,331,35,14,27.5,385.00
2106,331,88,21,2.17,45.57
2107,331,168,10,27.65,276.50
2108,331,256,10,110,1100.00
2109,332,164,10,18.86,188.60
2110,332,142,10,14.11,141.10
2111,332,131,10,26,260.00
2112,332,97,10,1.51,15.10
2125,336,226,10,20.5,205.00
2126,336,130,10,28.57,285.70
2127,336,174,30,6.41,192.30
2128,336,145,1,196.56,196.56
2129,335,132,15,18,270.00
2130,335,148,15,41.4,621.00
2131,335,174,30,6.41,192.30
2132,335,273,1,929.73,929.73
2133,335,231,1,15,15.00
2151,339,122,1,65.97,65.97
2152,339,146,1,126.36,126.36
2153,339,276,30,19.75,592.50
2154,339,197,10,13,130.00
2155,339,170,15,4.43,66.45
2156,338,122,1,65.97,65.97
2157,338,146,1,126.36,126.36
2158,338,62,15,13,195.00
2159,338,72,5,70,350.00
2160,337,203,5,84.34,421.70
2161,337,38,10,18.21,182.10
2162,337,163,10,7,70.00
2163,337,222,60,2.9,174.00
2164,337,129,30,22,660.00
2165,334,132,12,18,216.00
2166,334,112,10,50,500.00
2167,334,65,12,70,840.00
2168,334,64,20,26,520.00
2169,333,122,1,65.97,65.97
2170,333,146,1,126.36,126.36
2171,333,67,4,27.25,109.00
2172,340,206,1,304.25,304.25
2173,340,122,1,65.97,65.97
2174,340,219,1,80.36,80.36
2175,341,132,5,18,90.00
2176,341,129,5,22,110.00
2177,341,147,10,1.5,15.00
2178,341,65,5,70,350.00
2179,342,273,1,929.73,929.73
2180,342,231,1,15,15.00
2181,343,130,10,28.57,285.70
2182,343,142,15,14.11,211.65
2183,343,131,15,26,390.00
2189,344,130,7,28.57,199.99
2190,344,171,14,30,420.00
2191,344,88,21,2.17,45.57
2192,344,161,10,27.5,275.00
2193,344,187,10,18.15,181.50
2194,345,284,10,6.65,66.50
2195,345,59,5,21.43,107.15
2196,345,173,5,21.43,107.15
2202,346,51,1,186.45,186.45
2203,346,124,1,128.60,128.60
2210,347,171,14,30,420.00
2211,347,88,21,2.17,45.57
2212,347,111,10,19.55,195.50
2213,347,226,10,20.5,205.00
2214,347,149,1,46,46.00
2215,347,182,6,61.72,370.32
2216,348,164,5,18.86,94.30
2217,348,111,10,19.55,195.50
2218,348,59,5,21.43,107.15
2224,349,182,10,61.72,617.20
2225,349,139,10,19.5,195.00
2226,349,130,5,28.57,142.85
2227,349,119,20,1.42,28.40
2228,349,178,5,6.06,30.30
2233,351,279,1,53.92,53.92
2234,351,231,1,15,15.00
2235,352,144,30,16.37,491.10
2236,352,266,10,250,2500.00
2237,352,65,30,70,2100.00
2238,352,131,10,26,260.00
2239,352,61,10,12,120.00
2240,353,130,10,28.57,285.70
2241,353,61,30,12,360.00
2242,353,129,30,22,660.00
2243,353,174,30,6.41,192.30
2248,355,234,1,100,100.00
2249,355,237,1,60,60.00
2250,355,233,1,25,25.00
2251,355,270,2,35,70.00
2252,355,260,1,114.45,114.45
2253,355,49,1,300,300.00
2254,355,48,1,100,100.00
2255,355,249,1,174,174.00
2256,356,157,6,315,1890.00
2257,356,171,16,30,480.00
2258,356,111,16,19.55,312.80
2259,356,233,6,25,150.00
2260,356,272,1,431.43,431.43
2272,358,260,2,114.45,228.90
2273,358,249,5,174,870.00
2274,358,48,5,100,500.00
2275,358,270,6,35,210.00
2276,358,49,2,300,600.00
2277,358,232,4,15,60.00
2278,358,240,2,65,130.00
2279,359,171,14,30,420.00
2280,359,87,21,10.94,229.74
2281,359,111,7,19.55,136.85
2282,359,138,7,30,210.00
2283,357,54,5,70.14,350.70
2284,357,173,5,21.43,107.15
2285,357,192,1,140.95,140.95
2286,357,86,1,96.65,96.65
2287,354,132,20,18,360.00
2288,354,104,10,10.13,101.30
2289,354,191,1,118.86,118.86
2290,354,119,10,1.42,14.20
2291,350,165,5,75,375.00
2292,350,88,15,2.17,32.55
2293,350,130,10,28.57,285.70
2294,350,163,10,7,70.00
2301,360,59,7,21.43,150.01
2302,360,111,7,19.55,136.85
2303,360,82,40,16.56,662.40
2304,360,135,20,2.8,56.00
2311,361,157,4,315,1260.00
2312,361,54,5,70.14,350.70
2313,361,57,10,21.43,214.30
2314,361,192,1,140.95,140.95
2315,361,233,4,25,100.00
2316,361,271,1,210,210.00
2326,363,171,10,30,300.00
2327,363,88,10,2.17,21.70
2328,363,111,10,19.55,195.50
2329,363,159,1,200,200.00
2330,362,34,10,37.5,375.00
2331,362,146,1,126.36,126.36
2332,362,62,30,13,390.00
2333,362,122,1,65.97,65.97
2334,362,239,1,50,50.00
2340,364,69,1,731.2,731.20
2341,364,179,20,10.5,210.00
2342,364,203,7,84.34,590.38
2349,365,35,10,27.5,275.00
2350,365,88,15,2.17,32.55
2351,365,282,10,7.86,78.60
2352,365,166,15,16.08,241.20
2353,365,146,1,126.36,126.36
2354,365,130,10,28.57,285.70
2359,366,132,10,18,180.00
2360,366,148,10,41.4,414.00
2361,366,273,1,929.73,929.73
2362,366,231,1,15,15.00
2369,368,72,5,70,350.00
2370,368,122,1,65.97,65.97
2371,368,146,1,126.36,126.36
2372,368,216,1,221.84,221.84
2373,367,258,1,105.73,105.73
2374,367,116,2,77.67,155.34
2375,367,270,1,35,35.00
2376,367,234,1,100,100.00
2377,367,237,1,60,60.00
2378,367,233,1,25,25.00
2382,369,280,1,137,137.00
2383,369,173,10,21.43,214.30
2384,369,287,1,192.10,192.10
2413,371,122,1,65.97,65.97
2414,371,146,1,126.36,126.36
2415,371,62,30,13,390.00
2416,371,182,10,61.72,617.20
2417,371,187,10,18.15,181.50
2418,371,145,1,196.56,196.56
2419,371,219,1,80.36,80.36
2420,370,203,5,84.34,421.70
2421,370,146,1,126.36,126.36
2422,370,67,10,27.25,272.50
2423,370,192,1,140.95,140.95
2427,372,132,8,18,144.00
2428,372,112,10,50,500.00
2429,372,65,8,70,560.00
2430,373,213,6,410.49,2462.94
2431,373,171,16,30,480.00
2432,373,173,8,21.43,171.44
2433,373,111,16,19.55,312.80
2434,373,287,1,192.10,192.10
2435,373,233,6,25,150.00
2441,375,275,1,661,661.00
2442,375,231,1,15,15.00
2453,374,182,10,61.72,617.20
2454,374,69,2,731.2,1462.40
2455,374,166,15,16.08,241.20
2456,374,146,1,126.36,126.36
2457,374,142,10,14.11,141.10
2458,376,132,12,18,216.00
2459,376,112,10,50,500.00
2460,376,65,12,70,840.00
2461,376,64,20,26,520.00
2462,376,63,10,10,100.00
2475,377,72,7,70,490.00
2476,377,186,20,17.80,356.00
2477,377,266,10,250,2500.00
2478,377,195,12,5.93,71.16
2483,378,57,7,21.43,150.01
2484,378,185,21,7.57,158.97
2485,378,111,7,19.55,136.85
2486,378,89,14,39.86,558.04
2487,379,265,1,80,80.00
2488,379,171,14,30,420.00
2489,379,88,14,2.17,30.38
2490,379,111,14,19.55,273.70
2491,379,159,1,200,200.00
2492,379,219,1,80.36,80.36
2493,380,206,1,304.25,304.25
2494,380,149,1,46,46.00
2495,380,121,2,28.26,56.52
2496,380,96,1,140,140.00
2509,383,54,5,70.14,350.70
2510,383,185,15,7.57,113.55
2511,383,57,5,21.43,107.15
2512,383,87,10,10.94,109.40
2513,382,97,15,1.51,22.65
2514,382,132,15,18,270.00
2515,382,148,15,41.4,621.00
2516,382,90,3,258.50,775.50
2517,382,129,15,22,330.00
2518,382,178,30,6.06,181.80
2519,382,104,10,10.13,101.30
2520,384,148,14,41.4,579.60
2521,385,132,2,18,36.00
2522,385,148,2,41.4,82.80
2523,385,174,10,6.41,64.10
2524,385,34,6,37.5,225.00
2525,385,119,10,1.42,14.20
2526,381,132,20,18,360.00
2527,381,104,10,10.13,101.30
2528,381,191,1,118.86,118.86
2529,381,131,20,26,520.00
2530,381,153,1,67.19,67.19
2531,386,169,1,100,100.00
2532,386,232,1,15,15.00
2533,386,234,2,100,200.00
2534,386,264,1,95.92,95.92
2535,386,270,1,35,35.00
2536,386,145,1,196.56,196.56
2537,386,226,10,20.5,205.00
2538,386,197,10,13,130.00
2539,386,38,10,18.21,182.10
2540,387,57,15,21.43,321.45
2541,387,147,15,1.5,22.50
2542,387,129,15,22,330.00
2543,387,39,30,7.4,222.00
2553,389,34,6,37.5,225.00
2554,389,173,3,21.43,64.29
2555,389,59,3,21.43,64.29
2556,389,63,10,10,100.00
2563,390,146,1,126.36,126.36
2564,390,216,1,221.84,221.84
2565,390,122,1,65.97,65.97
2566,390,203,5,84.34,421.70
2567,390,164,10,18.86,188.60
2568,390,145,1,196.56,196.56
2573,391,37,5,76,380.00
2574,391,57,5,21.43,107.15
2575,391,87,10,10.94,109.40
2576,391,111,5,19.55,97.75
2577,388,142,20,14.11,282.20
2578,388,129,20,22,440.00
2579,388,130,10,28.57,285.70
2580,388,174,15,6.41,96.15
2584,392,171,4,30,120.00
2585,392,87,15,10.94,164.10
2586,392,111,5,19.55,97.75
2599,393,158,9,470,4230.00
2600,393,171,20,30,600.00
2601,393,154,6,46.45,278.70
2602,393,119,20,1.42,28.40
2603,393,57,10,21.43,214.30
2604,393,234,1,100,100.00
2605,393,237,1,60,60.00
2606,393,233,10,25,250.00
2607,393,265,1,80,80.00
2608,393,157,2,315,630.00
2609,393,151,3,21.15,63.45
2610,393,231,1,15,15.00
2613,394,171,6,30,180.00
2614,394,88,6,2.17,13.02
2615,395,144,30,16.37,491.10
2616,395,266,10,250,2500.00
2617,395,65,30,70,2100.00
2618,395,129,30,22,660.00
2619,396,132,12,18,216.00
2620,396,130,10,28.57,285.70
2621,396,266,10,250,2500.00
2622,396,65,12,70,840.00
2623,396,203,5,84.34,421.70
2624,397,144,10,16.37,163.70
2625,397,199,50,1.5,75.00
2626,397,72,5,70,350.00
2627,398,115,15,6.11,91.65
2632,399,132,10,18,180.00
2633,399,148,10,41.4,414.00
2634,399,166,15,16.08,241.20
2635,399,174,30,6.41,192.30
2640,400,176,30,13.04,391.20
2641,400,164,5,18.86,94.30
2642,400,35,10,27.5,275.00
2643,400,88,15,2.17,32.55
2648,401,59,5,21.43,107.15
2649,401,147,10,1.5,15.00
2650,401,39,10,7.4,74.00
2651,401,284,10,6.65,66.50
2653,402,82,96,16.56,1589.76
2654,402,135,60,2.8,168.00
2655,403,164,14,18.86,264.04
2656,403,161,10,27.5,275.00
2662,404,129,15,22,330.00
2663,404,130,10,28.57,285.70
2664,404,161,10,27.5,275.00
2665,404,34,10,37.5,375.00
2666,404,71,10,28.58,285.80
2667,404,142,15,14.11,211.65
2668,405,226,5,20.5,102.50
2669,405,230,1,111.57,111.57
2670,405,129,10,22,220.00
2671,405,88,15,2.17,32.55
2675,406,166,15,16.08,241.20
2676,406,288,30,19.5,585.00
2677,406,129,30,22,660.00
2688,408,54,10,70.14,701.40
2689,408,129,20,22,440.00
2690,408,57,10,21.43,214.30
2691,408,61,10,12,120.00
2701,409,129,10,22,220.00
2702,409,111,10,19.55,195.50
2703,407,34,10,37.5,375.00
2704,407,161,10,27.5,275.00
2705,407,174,30,6.41,192.30
2706,407,237,1,60,60.00
2707,407,240,1,65,65.00
2708,407,270,1,35,35.00
2709,407,233,1,25,25.00
2710,410,96,1,140,140.00
2711,410,206,1,304.25,304.25
2712,410,193,1,72.83,72.83
2713,411,171,10,30,300.00
2714,411,188,10,17.95,179.50
2715,411,138,30,30,900.00
2716,412,279,1,53.92,53.92
2717,412,231,1,15,15.00
2722,413,97,20,1.51,30.20
2723,413,129,20,22,440.00
2724,413,61,20,12,240.00
2725,413,198,50,2.48,124.00
2726,413,174,30,6.41,192.30
2727,414,184,1,540,540.00
2728,415,171,14,30,420.00
2729,415,88,21,2.17,45.57
2730,415,130,10,28.57,285.70
2731,415,287,1,192.10,192.10
2732,415,111,14,19.55,273.70
2733,415,233,6,25,150.00
2738,417,34,10,37.5,375.00
2739,417,186,20,17.80,356.00
2740,417,163,10,7,70.00
2741,417,195,10,5.93,59.30
2742,416,61,30,12,360.00
2743,416,129,30,22,660.00
2744,416,147,30,1.5,45.00
2745,416,125,1,72,72.00
2746,418,203,7,84.34,590.38
2747,418,57,7,21.43,150.01
2748,418,84,7,2.61,18.27
2749,418,193,1,72.83,72.83
2758,420,54,3,70.14,210.42
2759,420,57,3,21.43,64.29
2760,420,99,1,145,145.00
2761,420,185,10,7.57,75.70
2762,420,147,5,1.5,7.50
2763,419,192,1,140.95,140.95
2764,419,60,14,25,350.00
2765,419,193,1,72.83,72.83
2766,419,173,7,21.43,150.01
2770,421,203,7,84.34,590.38
2771,421,156,1,185,185.00
2772,421,111,7,19.55,136.85
2778,422,132,30,18,540.00
2779,422,203,5,84.34,421.70
2780,422,130,10,28.57,285.70
2781,422,266,10,250,2500.00
2782,422,288,30,19.5,585.00
2783,423,155,5,15.22,76.10
2784,423,131,10,26,260.00
2785,423,142,10,14.11,141.10
2786,424,72,5,70,350.00
2787,424,130,10,28.57,285.70
2788,424,163,10,7,70.00
2789,425,171,10,30,300.00
2790,425,88,10,2.17,21.70
2791,425,216,1,221.84,221.84
2792,425,239,1,50,50.00
2793,425,219,1,80.36,80.36
2800,426,139,10,19.5,195.00
2801,426,34,10,37.5,375.00
2802,426,130,10,28.57,285.70
2803,426,174,30,6.41,192.30
2804,426,142,10,14.11,141.10
2805,426,131,10,26,260.00
2807,427,115,30,6.11,183.30
2808,428,162,15,5,75.00
2809,428,216,1,221.84,221.84
2810,429,288,30,19.5,585.00
2811,429,129,30,22,660.00
2812,429,283,25,46.91,1172.75
2813,429,166,15,16.08,241.20
2820,430,35,14,27.5,385.00
2821,430,88,21,2.17,45.57
2822,430,130,10,28.57,285.70
2823,430,111,20,19.55,391.00
2824,430,69,1,731.2,731.20
2825,430,129,15,22,330.00
2826,431,203,5,84.34,421.70
2827,431,142,10,14.11,141.10
2828,431,146,1,126.36,126.36
2832,432,146,1,126.36,126.36
2833,432,288,30,19.5,585.00
2834,432,122,1,65.97,65.97
2845,433,130,10,28.57,285.70
2846,433,129,20,22,440.00
2847,433,90,4,258.50,1034.00
2848,433,119,20,1.42,28.40
2849,433,142,20,14.11,282.20
2856,434,88,10,2.17,21.70
2857,434,111,10,19.55,195.50
2858,434,287,1,192.10,192.10
2859,434,127,1,260,260.00
2860,434,265,1,80,80.00
2867,435,171,10,30,300.00
2868,435,88,10,2.17,21.70
2869,435,145,1,196.56,196.56
2870,435,226,10,20.5,205.00
2871,435,156,1,185,185.00
2872,435,197,10,13,130.00
2873,436,112,10,50,500.00
2878,437,171,20,30,600.00
2879,437,111,20,19.55,391.00
2880,437,57,10,21.43,214.30
2881,437,80,20,7.51,150.20
2887,438,182,10,61.72,617.20
2888,438,147,30,1.5,45.00
2889,438,129,30,22,660.00
2890,438,288,30,19.5,585.00
2891,438,130,10,28.57,285.70
2892,439,132,10,18,180.00
2893,439,288,10,19.5,195.00
2894,439,65,5,70,350.00
2895,440,45,6,310,1860.00
2896,440,171,16,30,480.00
2897,440,88,16,2.17,34.72
2898,440,111,16,19.55,312.80
2899,440,233,6,25,150.00
2900,441,171,14,30,420.00
2901,441,181,14,33.66,471.24
2902,441,57,7,21.43,150.01
2903,441,99,1,145,145.00
2904,441,119,30,1.42,42.60
2907,442,219,1,80.36,80.36
2908,442,239,3,50,150.00
2909,442,246,2,50,100.00
2910,443,122,1,65.97,65.97
2911,443,216,1,221.84,221.84
2912,443,146,1,126.36,126.36
2913,444,165,5,75,375.00
2914,444,88,15,2.17,32.55
2915,444,163,10,7,70.00
2916,444,106,1,255,255.00
2917,444,185,20,7.57,151.40
2918,444,130,10,28.57,285.70
2927,445,69,1,731.2,731.20
2928,445,165,2,75,150.00
2929,445,88,15,2.17,32.55
2930,445,254,40,11.03,441.20
2931,446,132,15,18,270.00
2932,446,148,15,41.4,621.00
2933,446,65,15,70,1050.00
2934,446,273,1,929.73,929.73
2935,446,231,1,15,15.00
2936,446,63,15,10,150.00
2937,446,64,30,26,780.00
2938,447,279,1,53.92,53.92
2939,447,231,1,15,15.00
2940,448,176,30,13.04,391.20
2941,448,35,10,27.5,275.00
2942,448,130,5,28.57,142.85
2943,448,111,5,19.55,97.75
2944,449,139,6,19.5,117.00
2945,449,125,1,72,72.00
2946,449,183,2,177.27,354.54
2947,450,132,7,18,126.00
2948,450,65,7,70,490.00
2949,451,129,15,22,330.00
2950,451,142,15,14.11,211.65
2956,452,132,30,18,540.00
2957,452,203,5,84.34,421.70
2958,452,148,14,41.4,579.60
2959,452,90,4,284.30,1137.20
2960,452,288,30,19.5,585.00
2961,453,130,10,28.57,285.70
2962,453,171,14,30,420.00
2963,453,88,21,2.17,45.57
2964,453,69,1,731.2,731.20
2965,453,174,30,6.41,192.30
2966,453,161,10,27.5,275.00
2967,454,132,20,18,360.00
2968,454,97,20,1.51,30.20
2969,454,178,20,6.06,121.20
2970,454,191,1,118.86,118.86
2971,454,129,20,22,440.00
2972,454,273,1,929.73,929.73
2973,454,231,1,15,15.00
2974,455,258,1,105.73,105.73
2975,455,169,1,100,100.00
2976,455,270,1,35,35.00
2977,455,231,1,15,15.00
2978,455,234,1,100,100.00
2979,455,237,1,60,60.00
2980,456,165,5,75,375.00
2981,456,88,15,2.17,32.55
2982,456,174,30,6.41,192.30
2983,456,168,10,27.65,276.50
